date,sample,GAN_ours_default_9seed,GAN_ours_tf_faithful,GAN_authors_checkpoints_ported,LS,Ridge
1983-01-31,train,0.017329,0.018349,0.018813,0.744329,0.600527
1983-02-28,train,0.015626,0.014447,0.015471,1.640926,1.455315
1983-03-31,train,0.016624,0.016591,0.016805,0.406759,0.430418
1983-04-29,train,0.017078,0.017721,0.018649,0.881032,0.748092
1983-05-31,train,0.017780,0.017858,0.019577,0.035931,0.081704
1983-06-30,train,0.017428,0.015931,0.016073,0.465031,0.562576
1983-07-29,train,0.014069,0.010132,0.015022,0.941775,0.855101
1983-08-31,train,0.012607,0.011661,0.013072,0.686712,0.602036
1983-09-30,train,0.014644,0.013484,0.015306,1.185082,1.159221
1983-10-31,train,0.012073,0.011732,0.013737,0.696915,0.814880
1983-11-30,train,0.014671,0.015405,0.015272,0.250409,0.203718
1983-12-30,train,0.013485,0.012485,0.015798,1.183041,1.259899
1984-01-31,train,0.013953,0.012365,0.015555,0.768825,0.771617
1984-02-29,train,0.009795,0.009443,0.011899,-0.068897,0.070310
1984-03-30,train,0.013185,0.013120,0.015513,0.778507,0.812570
1984-04-30,train,0.012775,0.011463,0.013285,1.170666,0.928685
1984-05-31,train,0.011896,0.009523,0.013523,1.100189,0.844761
1984-06-29,train,0.012458,0.012948,0.014503,0.670474,0.603535
1984-07-31,train,0.009883,0.010323,0.011709,0.936144,0.756528
1984-08-31,train,0.016151,0.019847,0.018827,0.597165,0.486721
1984-09-28,train,0.012468,0.012671,0.014768,1.668321,1.521031
1984-10-31,train,0.012261,0.011524,0.014269,0.693465,1.055847
1984-11-30,train,0.013214,0.011689,0.014658,1.181750,0.952863
1984-12-31,train,0.014057,0.013764,0.015041,0.535358,0.665946
1985-01-31,train,0.018471,0.019641,0.018244,0.918331,0.594268
1985-02-28,train,0.012199,0.013270,0.014509,0.982120,1.010137
1985-03-29,train,0.012581,0.011216,0.014882,1.196405,0.990480
1985-04-30,train,0.014430,0.010969,0.015306,1.130591,1.049318
